name,series_id,required,ok,n_obs,error
tpm,F022.TPM.TIN.D001.NO.Z.D,TRUE,TRUE,6070,NA
consumo_total,F022.CON.TIP.Z.NO.Z.M,TRUE,TRUE,292,NA
consumo_cuotas,F022.CONCUOT.TIP.Z.NO.Z.M,FALSE,TRUE,160,NA
consumo_tarj_rot,F022.CONTARJR.TIP.Z.NO.Z.M,FALSE,TRUE,148,NA
consumo_tarj_cuota,F022.CONTARJC.TIP.Z.NO.Z.M,FALSE,TRUE,148,NA
comercial_total,F022.COM.TIP.Z.NO.Z.M,TRUE,TRUE,292,NA
comercial_cuotas,F022.COMCUOT.TIP.Z.NO.Z.M,FALSE,TRUE,160,NA
comercial_sobregiro,F022.COMSOBR.TIP.Z.NO.Z.M,FALSE,TRUE,160,NA
vivienda_uf,F022.VIV.TIP.MA03.UF.Z.M,TRUE,TRUE,292,NA
cap_30_89,F022.CAP.TIP.D089.NO.Z.D,FALSE,TRUE,6074,NA
cap_90_1y,F022.CAP.TIP.AN01.NO.Z.D,TRUE,TRUE,6077,NA
bcp_2y,F022.BCLP.TIS.AN02.NO.Z.D,FALSE,TRUE,4617,NA
bcp_5y,F022.BCLP.TIS.AN05.NO.Z.D,FALSE,TRUE,5344,NA
bcp_10y,F022.BCLP.TIS.AN10.NO.Z.D,FALSE,TRUE,5216,NA
bcu_5y,F022.BUF.TIS.AN05.UF.Z.D,FALSE,TRUE,5486,NA
bcu_10y,F022.BUF.TIS.AN10.UF.Z.D,FALSE,TRUE,5498,NA
ipc,G073.IPC.IND.2023.M,FALSE,TRUE,291,NA
tc_obs,F073.TCO.PRE.Z.M,FALSE,FALSE,0,"Error BDE serie F073.TCO.PRE.Z.M: An internal error has occurred, information is not available."
imacec,F032.IMC.IND.Z.Z.EP18.Z.Z.0.M,FALSE,TRUE,291,NA
