variable,source,series_id,description
clp,BIS WS_XRU,D.CL.CLP.A,"USD/CLP, pesos por dolar"
cny,BIS WS_XRU,D.CN.CNY.A,"CNY/USD, yuanes por dolar"
dtw,BIS WS_EER,D.N.B.US,Dolar efectivo nominal de Estados Unidos
y10_clp,BCCh Siete,F022.BCLP.TIS.AN10.NO.Z.D,Tasa soberana chilena a 10 anos
y10_tsy,BCCh Siete / FRED fallback,F019.TBG.TAS.10.D / DGS10,Treasury 10Y de Estados Unidos
pcu,BCCh Siete,F019.PPB.PRE.100.D,Precio del cobre
eq_nsq,BCCh Siete,F019.IBC.IND.51.D,Nasdaq
eq_cny,BCCh Siete,F019.IBC.IND.CHN.D,Indice accionario China
cpi_rel_chl_us,BCCh + FRED,G073.IPC.IND.2023.M / CPIAUCSL,Log IPC Chile / IPC EEUU
vix,FRED,VIXCLS,VIX
wti,FRED,DCOILWTICO,WTI
