date,stress_market_30d,stress_market,z_fx,z_y10,regime
2012-11-19,1.095740572051228,1.2289746486659177,0.6609455971373036,1.7970037001945318,Estrés moderado
2012-12-19,1.1834259249931696,1.1074419225609096,0.42815226221843217,1.786731582903387,Estrés moderado
2013-01-18,1.2729778325631373,1.53459126027548,1.0719600410249357,1.9972224795260247,Estrés moderado
2013-02-19,1.4472691342788482,1.3665132740756303,0.8027054919388661,1.9303210562123945,Estrés moderado
2021-09-16,1.1501543143066055,1.110541277727036,0.20918513980906758,2.0118974156450045,Estrés moderado
2021-10-20,1.7059106795196233,2.6918505869320146,2.0043832666841315,3.3793179071798973,Estrés alto
2021-11-19,2.172838110721859,2.120780929558647,1.1128765232377096,3.1286853358795836,Estrés alto
2021-12-20,1.6082430646893429,2.0015874250515826,1.3504748973435448,2.6526999527596202,Estrés alto
2022-01-19,1.8856835675738914,1.5207012000820184,0.9076625957869298,2.133739804377107,Estrés alto
2022-02-18,1.1014274197649765,0.7313101575380953,0.2297974393955761,1.2328228756806143,Estrés moderado
2022-07-08,1.1180116610877286,1.7719462425107662,2.531068006125542,1.0128244788959901,Estrés moderado
2022-08-08,1.8064600069824088,1.5559128349269526,0.7878121238671002,2.324013545986805,Estrés alto
2022-09-07,1.350602002148453,0.8438854693812371,-0.17210049216986908,1.8598714309323432,Estrés moderado
2022-11-04,1.4587194357930724,1.207483093739071,1.6162950666355707,0.7986711208425715,Estrés moderado
2024-04-05,1.1574585785847,0.7947407176448154,0.9274996676108409,0.6619817676787899,Estrés moderado
