sample,product,product_label,horizon,cumulative
excl_2020_2023,cap_30_89,Captación 30-89d,6,0.07536137176793006
full,cap_30_89,Captación 30-89d,6,0.07974564151914909
post_2010,cap_30_89,Captación 30-89d,6,0.08133380424526063
excl_2020_2023,cap_90_1y,Captación 90d-1a,6,0.05803867632940581
full,cap_90_1y,Captación 90d-1a,6,0.05683619733841685
post_2010,cap_90_1y,Captación 90d-1a,6,0.05582002961265665
excl_2020_2023,comercial_cuotas,Comercial: cuotas,6,1.0225700965831965
full,comercial_cuotas,Comercial: cuotas,6,0.9478752300231712
post_2010,comercial_cuotas,Comercial: cuotas,6,0.9478752300231712
excl_2020_2023,comercial_sobregiro,Comercial: sobregiro,6,1.2718209651249537
full,comercial_sobregiro,Comercial: sobregiro,6,1.3182128075383541
post_2010,comercial_sobregiro,Comercial: sobregiro,6,1.3182128075383541
excl_2020_2023,comercial_total,Comercial total,6,1.3179102016677775
full,comercial_total,Comercial total,6,1.097784545087448
post_2010,comercial_total,Comercial total,6,1.0616347112816737
excl_2020_2023,consumo_cuotas,Consumo: cuotas,6,0.34532271398067876
full,consumo_cuotas,Consumo: cuotas,6,0.5703449746283825
post_2010,consumo_cuotas,Consumo: cuotas,6,0.5703449746283825
excl_2020_2023,consumo_tarj_cuota,Tarjeta: cuota,6,0.9276936673080967
full,consumo_tarj_cuota,Tarjeta: cuota,6,0.5624794537096676
post_2010,consumo_tarj_cuota,Tarjeta: cuota,6,0.5624794537096676
excl_2020_2023,consumo_tarj_rot,Tarjeta: rotativo,6,1.2693505074325717
full,consumo_tarj_rot,Tarjeta: rotativo,6,0.9821965692915554
post_2010,consumo_tarj_rot,Tarjeta: rotativo,6,0.9821965692915554
excl_2020_2023,consumo_total,Consumo total,6,1.5728629804262546
full,consumo_total,Consumo total,6,1.2227350688105207
post_2010,consumo_total,Consumo total,6,0.9539434598601764
excl_2020_2023,vivienda_uf,Vivienda UF >3 años,6,0.06260892688323012
full,vivienda_uf,Vivienda UF >3 años,6,0.005447202525631046
post_2010,vivienda_uf,Vivienda UF >3 años,6,-0.010895415693788477
